,Unnamed: 0,City,Client Group,Contact Method,Country,Date Closed,Language,Month,Organization,Postal/Zip Code,Prog. Area,Program,Prov/State,Reason for Enquiry,Resolution,SRT #,SRT Status,Sector,Topic
4269,643,,Individual,Telephone,Canada,2019-02-25,English,Feb,"Innovation, Science and Economic Development Canada",,Incorporate a Business,Corporations Canada (CC),Manitoba,Requires Expert Information,Completed,502292,Closed,Small Business Tourism and Marketplace Services,Corporations
4278,652,,Individual,Telephone,Canada,2019-02-25,English,Feb,Provincial Government,,,Ontario,Ontario,Requires Expert Information,Referral (External),502283,Closed,,Corporations
4281,655,,Company,Telephone,Canada,2019-02-25,English,Feb,"Innovation, Science and Economic Development Canada",,,Innovation Canada Platform,Alberta,Requires Information on a Procedure,Completed,502354,Closed,Innovation Canada,Innovation
4282,656,,Company,Telephone,Canada,2019-02-25,English,Feb,"Innovation, Science and Economic Development Canada",,,Innovative Solutions Canada,Alberta,Requires Information on a Procedure,Completed,502359,Closed,Innovation Canada,Innovation
4285,659,,Individual,Telephone,Canada,2019-02-25,English,Feb,Not Applicable,,,Not Applicable,Manitoba,Other,Completed,502350,Closed,,Other
4286,660,,Company,Telephone,Canada,2019-02-25,English,Feb,"Innovation, Science and Economic Development Canada",,"Change of Registered Office Address
Corporation Key",Corporations Canada (CC),Québec,Requires Expert Information,Partial Resolution + Internal,502346,Closed,Small Business Tourism and Marketplace Services,Corporations
4289,663,,Innovation Science and Economic Development Canada,Telephone,Canada,2019-02-25,English,Feb,"Innovation, Science and Economic Development Canada",,,Other,,Other,Completed,502351,Closed,,Other
4292,666,,Professional Services,Telephone,Canada,2019-02-25,English,Feb,"Innovation, Science and Economic Development Canada",,Articles of Continuance,Corporations Canada (CC),Québec,Requires Information on a Procedure,Completed,502368,Closed,Small Business Tourism and Marketplace Services,Corporations
4304,678,,Individual,Telephone,Canada,2019-02-25,English,Feb,Enterprises,,,Private Enterprise,Ontario,Requires Contact Information,Completed,502336,Closed,,Corporations
4307,681,,Professional Services,Telephone,Canada,2019-02-25,English,Feb,"Innovation, Science and Economic Development Canada",,"File an Annual Return
Other",Corporations Canada (CC),Ontario,Requires Expert Information,Referral (Internal),502344,Closed,Small Business Tourism and Marketplace Services,Corporations
4318,692,,Company,Telephone,Canada,2019-02-25,French,Feb,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Québec,Requires Information on a Procedure,Completed,502237,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
4319,693,,Professional Services,Telephone,Canada,2019-02-25,English,Feb,"Innovation, Science and Economic Development Canada",,Obtain Corporation Documents,Corporations Canada (CC),Ontario,Requires Information on a Procedure,Completed,502236,Closed,Small Business Tourism and Marketplace Services,Corporations
4323,697,,Individual,Telephone,Canada,2019-02-25,English,Feb,Provincial Government,,,Ontario,Ontario,Requires Information on a Procedure,Referral (External),502204,Closed,,Corporations
4325,699,,Individual,Telephone,Unknown,2019-02-25,English,Feb,Not Applicable,,,Not Applicable,,Misdirected to Industry Canada,Referral (External),502212,Closed,,Other
4329,703,,Company,Telephone,Canada,2019-02-25,English,Feb,"Innovation, Science and Economic Development Canada",,Incorporate a Business,Corporations Canada (CC),Ontario,Requires Expert Information,Partial Resolution + Internal,502200,Closed,Small Business Tourism and Marketplace Services,Corporations
4330,704,,Company,Telephone,Canada,2019-02-25,English,Feb,"Innovation, Science and Economic Development Canada",,Advertising / Communication,"Communications and Marketing Branch (CMB)
Spectrum Management and Telecommunications",Ontario,"Public Engagement
Requires Information on a Procedure",Completed,502228,Closed,"Office of the Deputy Minister
Spectrum Information Technologies and Telecommunications","Internet radio and wireless
Science and technology"
4334,708,,Company,Telephone,Canada,2019-02-25,English,Feb,"Innovation, Science and Economic Development Canada",,Incorporate a Business,Corporations Canada (CC),Ontario,Requires Expert Information,Referral (Internal),502218,Closed,Small Business Tourism and Marketplace Services,Corporations
4344,718,,Not-for-profit Corporations,Telephone,Canada,2019-02-25,English,Feb,Federal Government,,,Canada Revenue Agency (CRA),Ontario,"Requires Expert Information
Requires Information on a Procedure",Partial Resolution + External,502248,Closed,,Other
4349,723,,Company,Telephone,Canada,2019-02-25,English,Feb,"Innovation, Science and Economic Development Canada",,,Innovative Solutions Canada,New Brunswick,"Requires Expert Information
Status Update",Completed,501933,Closed,Innovation Canada,Innovation
4352,726,,Professional Services,Telephone,Canada,2019-02-22,English,Feb,"Innovation, Science and Economic Development Canada",,Other,Corporations Canada (CC),Ontario,Requires Expert Information,Referral (Internal),502158,Closed,Small Business Tourism and Marketplace Services,Corporations
4360,734,,Company,Telephone,Canada,2019-02-22,English,Feb,"Innovation, Science and Economic Development Canada",,Obtain Corporation Documents,Corporations Canada (CC),Ontario,"Requires Information on a Procedure
Requires Navigational Aid",Completed,502169,Closed,Small Business Tourism and Marketplace Services,Corporations
4371,745,,Other Government,Telephone,Sweden,2019-02-22,English,Feb,"Innovation, Science and Economic Development Canada",,,Innovation Superclusters Initiative,,Requires Contact Information,Completed,502049,Closed,Innovation Canada,Innovation
4377,751,,Company,Telephone,Canada,2019-02-22,English,Feb,"Innovation, Science and Economic Development Canada",,Change of Registered Office Address,Corporations Canada (CC),Ontario,Requires Expert Information,Referral (Internal),502038,Closed,Small Business Tourism and Marketplace Services,Corporations
4380,754,,Company,Telephone,Canada,2019-02-22,English,Feb,"Innovation, Science and Economic Development Canada",,Advertising / Communication,"Communications and Marketing Branch (CMB)
Spectrum Management and Telecommunications",Ontario,"Public Engagement
Requires Information on a Procedure",Completed,502042,Closed,"Office of the Deputy Minister
Spectrum Information Technologies and Telecommunications","Internet radio and wireless
Science and technology"
4392,766,,Professional Services,Telephone,Canada,2019-02-22,French,Feb,"Innovation, Science and Economic Development Canada",,Obtain Corporation Documents,Corporations Canada (CC),Québec,Requires Expert Information,Referral (Internal),502140,Closed,Small Business Tourism and Marketplace Services,Corporations
4396,770,,Company,Telephone,Canada,2019-02-22,French,Feb,"Innovation, Science and Economic Development Canada",,Other,Corporations Canada (CC),Québec,Requires Expert Information,Referral (Internal),502137,Closed,Small Business Tourism and Marketplace Services,Corporations
4397,771,,Company,Telephone,Canada,2019-02-22,English,Feb,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Ontario,Requires Expert Information,Partial Resolution + Internal,502014,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
4399,773,,Company,Telephone,Canada,2019-02-22,English,Feb,"Innovation, Science and Economic Development Canada",,Other,Corporations Canada (CC),,Requires Expert Information,Referral (Internal),502011,Closed,Small Business Tourism and Marketplace Services,Corporations
4410,784,,Company,Telephone,Canada,2019-02-22,English,Feb,"Innovation, Science and Economic Development Canada",,Dissolve a Corporation,Corporations Canada (CC),Ontario,Requires Expert Information,Referral (Internal),502031,Closed,Small Business Tourism and Marketplace Services,Corporations
4412,786,,Company,Telephone,Canada,2019-02-22,French,Feb,"Innovation, Science and Economic Development Canada
Provincial Government",,File an Annual Return,"Corporations Canada (CC)
Quebec",Québec,"Problem (Non-Technical)
Requires Expert Information",Partial Resolution + External,502030,Closed,"Small Business Tourism and Marketplace Services
",Corporations
4414,788,,Individual,Telephone,Canada,2019-02-22,English,Feb,"Innovation, Science and Economic Development Canada",,,Other,Ontario,Requires Contact Information,Completed,502035,Closed,,Other
4417,791,,Company,Telephone,Canada,2019-02-22,French,Feb,Federal Government,,,Canada Revenue Agency (CRA),Québec,Requires Information on a Procedure,Referral (Internal),502024,Closed,,Corporations
4418,792,,Company,Telephone,Canada,2019-02-22,English,Feb,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Ontario,Requires Expert Information,Referral (Internal),502022,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
4427,801,,Individual,Telephone,Canada,2019-02-22,English,Feb,"Innovation, Science and Economic Development Canada",,Stream 4,Strategic Innovation Fund,Alberta,"Requires Expert Information
Requires Information on a Procedure",Completed,502068,Closed,Innovation Canada,Innovation
4431,805,,Company,Telephone,Canada,2019-02-22,English,Feb,"Innovation, Science and Economic Development Canada",,Other,Corporations Canada (CC),,Requires Expert Information,Referral (Internal),502083,Closed,Small Business Tourism and Marketplace Services,Corporations
4438,812,,Entrepreneur,Telephone,Canada,2019-02-22,French,Feb,Federal Government,,,Global Affairs Canada,Québec,Requires Expert Information,Referral (External),502058,Closed,,Innovation
4441,815,,Company,Telephone,Canada,2019-02-22,French,Feb,"Innovation, Science and Economic Development Canada",,Other,Corporations Canada (CC),Québec,Requires Expert Information,Referral (Internal),502051,Closed,Small Business Tourism and Marketplace Services,Corporations
4445,819,,Individual,Telephone,Canada,2019-02-22,English,Feb,"Innovation, Science and Economic Development Canada",,Human Resources,Corporate Management Sector (CMS),British Columbia,"Obtain Official Document
Requires Information on a Procedure",Completed,502067,Closed,Office of the Deputy Minister,Other
4446,820,,Not-for-profit Corporations,Telephone,Canada,2019-02-22,French,Feb,"Innovation, Science and Economic Development Canada",,"NFP - Annual Return
NFP - Incorporation",Corporations Canada (CC),Québec,"Requires Expert Information
Requires Information on a Procedure",Partial Resolution + Internal,502065,Closed,Small Business Tourism and Marketplace Services,Corporations
4452,826,,Company,Telephone,Canada,2019-02-22,English,Feb,"Innovation, Science and Economic Development Canada",,Stream 4,Strategic Innovation Fund,Alberta,Requires Expert Information,Referral (Internal),502114,Closed,Innovation Canada,Innovation
4453,827,,Company,Telephone,Canada,2019-02-22,English,Feb,"Innovation, Science and Economic Development Canada",,Changes Regarding Directors,Corporations Canada (CC),Ontario,Requires Expert Information,Referral (Internal),502112,Closed,Small Business Tourism and Marketplace Services,Corporations
4455,829,,Company,Telephone,Canada,2019-02-22,English,Feb,"Innovation, Science and Economic Development Canada",,Revive a Corporation,Corporations Canada (CC),Ontario,"Requires Expert Information
Requires Information on a Procedure",Partial Resolution + Internal,502101,Closed,Small Business Tourism and Marketplace Services,Corporations
4483,857,,Individual,Telephone,Canada,2019-02-22,English,Feb,Not Applicable,,,Not Applicable,British Columbia,Other,Completed,495005,Closed,,Other
